Name,Symbol,CNMMN/CNMNC approved formula (unless marked in blue),IMA Status,Kretz (1998),Siivolam & Schmid (2007),Whitney & Evans (2010),Can. Min. (2019),Warr (2020),Symbol rule (1-4),Notes,new/adopted symbol,,blue formula taken from publlished literature,,
Alumotantite,Atan,AlTaO4,A,,,,,,4,Tan = tantite,new symbol,,,,
Alumovesuvianite ,Aves,Ca19Al(Al10Mg2)Si18O69(OH)9 ,A,,,,,,4,Ves = vesuvianite ,new symbol,,,,
Alunite,Alu,KAl3(SO4)2(OH)6,Rd,,,Alu,Aln,,1,, adopted symbol,,,,
Alunogen,Alg,Al2(SO4)3(H2O)12·5H2O,G,,,,Alu,,2,,new symbol,,,,
Alvanite,Alv,ZnAl4(V5+O3)2(OH)12·2H2O,A,,,,,,1,,new symbol,,,,
Alwilkinsite-(Y),Alw-Y,Y(UO2)3(SO4)2O(OH)3(H2O)7·7H2O,A,,,,,,1,,new symbol,,,,
Amakinite,Amk,Fe(OH)2,A,,,Amk,,,2,, adopted symbol,,,,
Amamoorite,Amo,CaMn2+2Mn3+(Si2O7)O(OH),A,,,,,,2,,new symbol,,,,
Amarantite,Ama,Fe3+2O(SO4)2·7H2O,G,,,,,,1,,new symbol,,,,
Amarillite,Amr,NaFe3+(SO4)2·6H2O,G,,,,,,2,,new symbol,,,,
Amblygonite,Aby,LiAl(PO4)F,G,,,,Amb,,2,,new symbol,,,,
Ambrinoite,Amb,"[K,(NH4)]2(As,Sb)6(Sb,As)2S13·H2O",A,,,,,,1,,new symbol,,,,
Ameghinite,Agh,NaB3O3(OH)4,A,,,,,,2,,new symbol,,,,
Amesite,Ame,Mg2Al(AlSiO5)(OH)4,G,,,Ame,Ams,Ame,1,, adopted symbol,,,,
Amicite,Ami,K2Na2(Al4Si4O16)·5H2O,A,,,,,,1,,new symbol,,,,
Aminoffite,Amf,Ca3(BeOH)2Si3O10,G,,,,,,2,,new symbol,,,,
Ammineite,Amm,CuCl2·2NH3,A,,,,,,1,,new symbol,,,,
Ammonioalunite,Aalu,(NH4)Al3(SO4)2(OH)6,A,,,,,,4,Alu = alunite,new symbol,,,,
Ammonioborite,Abo,(NH4)3B15O20(OH)8·4H2O,G,,,,,,2,,new symbol,,,,
Ammoniojarosite,Ajrs,(NH4)Fe3+3(SO4)2(OH)6,Rd,,,,,,4,Jrs = jarosite,new symbol,,,,
Ammoniolasalite ,Alas,[(NH4)2Mg2(H2O)20]·[V10O28],A,,,,,,4,Las = lasalite,new symbol,,,,
Ammonioleucite,Alct,(NH4)(AlSi2O6),A,,,,,,4,Lct = leucite,new symbol,,,,
Ammoniomagnesiovoltaite,Amvlt,(NH4)2Mg5Fe3+3Al(SO4)12·18H2O,A,,,,,,4,Vlt = voltaite,new symbol,,,,
Ammoniomathesiusite,Amat,(NH4)5(UO2)4(SO4)4(VO5)·4H2O,A,,,,,,4,Mat = mathesiusite,new symbol,,,,
Ammoniotinsleyite,Atin,(NH4)Al2(PO4)2(OH)·2H2O,A,,,,,,4,Tin = tinsleyite,new symbol,,,,
Ammoniovoltaite,Avlt,(NH4)2Fe2+5Fe3+3Al(SO4)12(H2O)18,A,,,,,,4,Vlt = voltaite,new symbol,,,,
Ammoniozippeite,Azip,(NH4)2[(UO2)2(SO4)O2]·H2O,A,,,,,,4,Zip = zippeite,new symbol,,,,
