Point,Comment,Inspected,SiO2(Mass%),MgO(Mass%),Al2O3(Mass%),MnO(Mass%),FeO(Mass%),TiO2(Mass%),CaO(Mass%),Cr2O3(Mass%),Na2O(Mass%),K2O(Mass%),P2O5(Mass%),NiO(Mass%),Total(Mass%),SiO2(Norm%),MgO(Norm%),Al2O3(Norm%),MnO(Norm%),FeO(Norm%),TiO2(Norm%),CaO(Norm%),Cr2O3(Norm%),Na2O(Norm%),K2O(Norm%),P2O5(Norm%),NiO(Norm%),Total(Norm%),SiO2(Cation),MgO(Cation),Al2O3(Cation),MnO(Cation),FeO(Cation),TiO2(Cation),CaO(Cation),Cr2O3(Cation),Na2O(Cation),K2O(Cation),P2O5(Cation),NiO(Cation),Total(Cation),SiO2(mole%),MgO(mole%),Al2O3(mole%),MnO(mole%),FeO(mole%),TiO2(mole%),CaO(mole%),Cr2O3(mole%),Na2O(mole%),K2O(mole%),P2O5(mole%),NiO(mole%),Total(mole%),X,Y,Z,SiO2(K-ratio),MgO(K-ratio),Al2O3(K-ratio),MnO(K-ratio),FeO(K-ratio),TiO2(K-ratio),CaO(K-ratio),Cr2O3(K-ratio),Na2O(K-ratio),K2O(K-ratio),P2O5(K-ratio),NiO(K-ratio),Total(K-ratio),SiO2(K-raw),MgO(K-raw),Al2O3(K-raw),MnO(K-raw),FeO(K-raw),TiO2(K-raw),CaO(K-raw),Cr2O3(K-raw),Na2O(K-raw),K2O(K-raw),P2O5(K-raw),NiO(K-raw),Total(K-raw),Na(Net),Mg(Net),Al(Net),Si(Net),K(Net),Ca(Net),Ti(Net),P(Net),Ni(Net),Fe(Net),Mn(Net),Cr(Net),Na(BG-),Mg(BG-),Al(BG-),Si(BG-),K(BG-),Ca(BG-),Ti(BG-),P(BG-),Ni(BG-),Fe(BG-),Mn(BG-),Cr(BG-),Na(BG+),Mg(BG+),Al(BG+),Si(BG+),K(BG+),Ca(BG+),Ti(BG+),P(BG+),Ni(BG+),Fe(BG+),Mn(BG+),Cr(BG+),Na(L-value),Mg(L-value),Al(L-value),Si(L-value),K(L-value),Ca(L-value),Ti(L-value),P(L-value),Ni(L-value),Fe(L-value),Mn(L-value),Cr(L-value),Current,Na(Error%),Mg(Error%),Al(Error%),Si(Error%),K(Error%),Ca(Error%),Ti(Error%),P(Error%),Ni(Error%),Fe(Error%),Mn(Error%),Cr(Error%),Total(Error%),Na(D.L.),Mg(D.L.),Al(D.L.),Si(D.L.),K(D.L.),Ca(D.L.),Ti(D.L.),P(D.L.),Ni(D.L.),Fe(D.L.),Mn(D.L.),Cr(D.L.), ,Bi(Net),Ar(Net),Br(Net),As(Net)
387,dr13 Line 002,dr13 Line 002,41.75,19.8,18.88,0.4956,7.63,0.0204,4.29,7.04,0.0202,0.0003,0,0.0011,99.9276,41.7802,19.8143,18.8937,0.496,7.6355,0.0204,4.2931,7.0451,0.0202,0.0003,0,0.0011,100,6.029,4.263,3.213,0.0606,0.921,0.0022,0.664,0.804,0.0057,0.0001,0,0.0001,15.9627,43.2152,30.5516,11.5174,0.4345,6.6051,0.0159,4.7581,2.8808,0.0203,0.0002,0,0.0009,100,26.404,-26.7479,10.364,38.2213,17.136,16.3375,0.471,6.7855,0.0189,4.3362,6.412,0.0181,0.0003,0,0.001,89.7378,59.102,17.136,87.087,1.137,7.541,0.0189,16.852,6.412,0.1562,0.0028,0,0.0022,195.4471,78.8,137678.9,147654.6,331646.8,8.5,111156.9,440.6,0.7,5.9,36076.2,2071.6,22979.6,717,1535.8,2444.5,4854.9,1776.1,2346,3671,236.4,1336.2,802.4,649.4,445.8,505.6,1027.6,1610,2795.1,1468.2,2129.4,3341.4,175.3,1144.4,716.3,433.4,376.2,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.3,27.65,0.16,0.16,0.11,410.51,0.18,11.81,3361.95,515.89,0.32,1.64,0.41,4330.79,49,38,43,61,14,16,22,32,52,44,45,48,464,1111.6,1401.2,814.8,1013.1
388,dr13 Line 003,dr13 Line 003,41.71,19.78,18.83,0.4868,7.66,0.0213,4.3,7.02,0.007,0,0.0125,0,99.8276,41.782,19.8142,18.8625,0.4876,7.6732,0.0213,4.3074,7.0321,0.007,0,0.0125,0,100,6.03,4.262,3.209,0.0596,0.926,0.0023,0.666,0.803,0.002,0,0.0015,0,15.9614,43.2126,30.5482,11.4972,0.4272,6.637,0.0166,4.7735,2.8752,0.007,0,0.0055,0,100,26.4053,-26.7479,10.364,38.1844,17.112,16.2951,0.4626,6.8161,0.0197,4.3409,6.397,0.0063,0,0.0098,0,89.6438,59.045,17.112,86.861,1.1168,7.575,0.0197,16.87,6.397,0.0542,0,0.0232,0,195.0739,27.6,137486.2,147270.3,331328.1,-15.1,111280.2,459.3,37.4,-19,36237.5,2034.8,22927.8,734.3,1467.2,2378.6,4820.9,1727,2324.8,3698.2,197.5,1341.2,783.5,656.2,456.7,556.4,1035.4,1621.4,2845.8,1494.8,2169.3,3290.7,185,1212.6,718.5,475.7,372.7,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.4,80.15,0.16,0.16,0.11,100,0.18,11.33,32.96,100,0.32,1.67,0.41,327.45,50,38,42,61,14,16,22,31,52,44,46,49,465,1106.3,1408.8,791.3,1031.5
389,dr13 Line 004,dr13 Line 004,41.63,19.75,18.8,0.4861,7.65,0.0169,4.3,6.98,0.018,0.0044,0.005,0.0126,99.653,41.775,19.8188,18.8655,0.4878,7.6766,0.017,4.315,7.0043,0.0181,0.0044,0.005,0.0126,100,6.03,4.264,3.209,0.0596,0.927,0.0018,0.667,0.799,0.005,0.0008,0.0006,0.0015,15.9653,43.1969,30.5494,11.4968,0.4273,6.6387,0.0132,4.7809,2.8633,0.0181,0.0029,0.0022,0.0105,100,26.4066,-26.7479,10.364,38.1068,17.085,16.264,0.4619,6.8071,0.0156,4.3393,6.36,0.0161,0.0044,0.0039,0.0112,89.4752,58.925,17.085,86.695,1.1151,7.565,0.0156,16.864,6.36,0.1386,0.0367,0.0092,0.0243,194.8335,70.2,137266.2,146989.5,330653.8,111.5,111241.3,364.6,15.1,64.9,36188.9,2031.5,22796.7,713.4,1497.7,2488.5,4887.2,1642,2373.8,3749.5,215.1,1316.1,800,630.2,492.5,483.9,1011.8,1638,2811.8,1434.1,2166.6,3370.5,175.1,1151.5,738.4,487.2,344.9,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.5,30.71,0.16,0.16,0.11,30.65,0.18,14.31,81.29,46.82,0.32,1.67,0.41,206.79,48,38,43,61,13,16,22,31,52,45,46,49,464,1104.3,1405.3,803.3,1026.9
390,dr13 Line 005,dr13 Line 005,41.44,19.62,18.72,0.4777,7.55,0.0209,4.27,7,0.0151,0.0014,0.0095,0.0034,99.128,41.8045,19.7926,18.8847,0.4819,7.6164,0.0211,4.3076,7.0616,0.0152,0.0014,0.0096,0.0034,100,6.032,4.256,3.212,0.0589,0.919,0.0023,0.666,0.805,0.0043,0.0003,0.0012,0.0004,15.9574,43.2479,30.5235,11.5139,0.4223,6.5897,0.0164,4.7749,2.888,0.0153,0.0009,0.0042,0.0029,100,26.4079,-26.7479,10.364,37.929,16.972,16.2017,0.4539,6.7162,0.0193,4.3123,6.372,0.0135,0.0014,0.0074,0.003,89.0017,58.65,16.972,86.363,1.0958,7.464,0.0193,16.759,6.372,0.1168,0.0116,0.0176,0.0065,193.8476,58.9,136360.2,146427,329107.4,35.4,110546.2,449.9,28.2,17.7,35706.6,1996.1,22838.2,706,1533.1,2474.8,4897.2,1703.3,2328.1,3672.6,197.1,1333.3,848.1,675.8,425,516,1034.7,1586.1,2943.7,1435.5,2217.4,3298,184.7,1155.9,711.2,472.8,360.8,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.7,36.62,0.16,0.16,0.11,96.23,0.19,11.54,43.06,172.84,0.33,1.69,0.41,363.34,48,38,43,62,13,16,22,31,52,45,46,47,463,1108.7,1401.4,789.8,1010.5
391,PK5V-3_gr1 Grid 001x001,PK5V-3_gr1 Grid 001x001,40.87,19.61,14.47,0.2887,6.44,1.84,6.09,9.22,0.1421,0.0065,0.0344,0.0091,99.0208,41.2742,19.8039,14.6131,0.2916,6.5037,1.8582,6.1502,9.3112,0.1435,0.0066,0.0347,0.0092,100,6.031,4.314,2.517,0.0361,0.795,0.204,0.963,1.075,0.0407,0.0012,0.0043,0.0011,15.9824,42.5823,30.4573,8.8852,0.2548,5.6116,1.4418,6.7989,3.7976,0.1435,0.0043,0.0152,0.0076,100,21.3799,23.3104,10.321,37.9619,16.779,12.4529,0.2747,5.7327,1.7037,6.1933,8.371,0.1253,0.0066,0.0273,0.0081,89.6365,58.701,16.779,66.38,0.6632,6.371,1.704,24.069,8.371,1.081,0.0548,0.0646,0.0176,184.2562,545.8,134812.2,112546.5,329395.3,166.2,158767,39763.1,104.1,47.1,30479.1,1208.1,30003.3,729.7,1536,2411.6,4926,1778.1,2474.5,3762.4,224.5,1414.9,838.3,631.5,456.8,524.2,1007.2,1589,2894.6,1452.2,2217.9,3418.2,195.7,1217.9,720.5,514.4,386.8,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.8,4.69,0.17,0.18,0.11,21.13,0.15,0.33,13.23,66.51,0.35,2.42,0.35,109.62,49,38,42,61,14,16,22,32,53,45,46,49,467,938.5,1268.3,680.6,930
392,PK5V-3_gr1 Grid 001x002,PK5V-3_gr1 Grid 001x002,40.88,19.48,14.49,0.294,6.41,1.85,6.08,9.31,0.1427,0.0053,0.0402,0.021,99.0032,41.2916,19.6761,14.6359,0.297,6.4745,1.8686,6.1412,9.4037,0.1441,0.0054,0.0406,0.0212,100,6.033,4.287,2.521,0.0368,0.792,0.205,0.961,1.086,0.0408,0.001,0.005,0.0025,15.9711,42.6586,30.3022,8.9112,0.2599,5.5941,1.4519,6.7982,3.8406,0.1444,0.0035,0.0178,0.0176,100,21.3799,23.3117,10.321,37.9807,16.667,12.479,0.2797,5.7057,1.7127,6.1843,8.455,0.1258,0.0054,0.032,0.0186,89.6459,58.73,16.667,66.519,0.6754,6.341,1.713,24.034,8.455,1.0853,0.0449,0.0757,0.0405,184.3808,547.5,133905.7,112782.6,329557.3,136.2,158536.3,39963.3,122.5,108.1,30337.3,1230.5,30301.9,726.9,1558.6,2525.9,5030.8,1698.1,2402.8,3857.9,207.6,1364.1,809.4,642.4,468.9,508.8,1031.4,1599.9,2880.2,1502.9,2219.4,3444,191.2,1172.2,714.5,489.9,360.8,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.7,4.65,0.17,0.18,0.11,25.59,0.15,0.33,11.26,28.69,0.35,2.38,0.35,74.21,49,38,43,62,14,16,22,31,52,44,46,48,465,954.8,1290.1,685,924
393,PK5V-3_gr1 Grid 001x003,PK5V-3_gr1 Grid 001x003,40.89,19.5,14.52,0.2832,6.49,1.83,6.08,9.28,0.1279,0.0069,0.0405,0.0257,99.0742,41.2721,19.6822,14.6557,0.2858,6.5506,1.8471,6.1368,9.3667,0.1291,0.007,0.0409,0.0259,100,6.032,4.289,2.524,0.0354,0.801,0.203,0.961,1.082,0.0366,0.0013,0.0051,0.003,15.9734,42.634,30.3084,8.9223,0.2501,5.6592,1.435,6.7926,3.8251,0.1293,0.0046,0.0179,0.0216,100,21.3799,23.313,10.321,37.9936,16.683,12.5028,0.2695,5.7741,1.6937,6.1863,8.428,0.1127,0.007,0.0321,0.0227,89.7056,58.75,16.683,66.646,0.6506,6.417,1.694,24.042,8.428,0.9721,0.0581,0.0761,0.0495,184.4664,490.8,134036.7,112996.7,329670.2,176.1,158587,39523.6,123,132.2,30700.9,1185.2,30206.8,753.9,1559.6,2444.4,4863.9,1723.2,2316.8,3867.8,208.1,1363.9,827.2,674.1,445,560.9,1064.8,1644,2820,1476.4,2235.6,3481.7,197,1225.8,720.5,505.2,367.8,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.8,5.22,0.17,0.18,0.11,19.89,0.15,0.33,11.27,23.76,0.35,2.47,0.35,64.25,50,38,43,61,14,16,22,32,53,45,47,48,469,930,1278.8,680.6,916.2
394,PK5V-3_gr1 Grid 001x004,PK5V-3_gr1 Grid 001x004,40.83,19.61,14.46,0.2968,6.48,1.84,6.06,9.26,0.1482,0.0065,0.0417,0.018,99.0512,41.2211,19.7978,14.5985,0.2996,6.5421,1.8576,6.118,9.3487,0.1496,0.0066,0.0421,0.0182,100,6.025,4.314,2.515,0.0371,0.8,0.204,0.959,1.081,0.0424,0.0012,0.0052,0.0021,15.986,42.5431,30.4591,8.8795,0.262,5.6468,1.4419,6.7658,3.8143,0.1497,0.0043,0.0184,0.0151,100,21.3799,23.3143,10.321,37.9238,16.774,12.442,0.2825,5.7642,1.7027,6.1709,8.417,0.1307,0.0066,0.0331,0.0159,89.6635,58.642,16.774,66.322,0.682,6.406,1.703,23.982,8.417,1.1271,0.0548,0.0785,0.0347,184.2231,568.7,134771.6,112448.3,329063.5,166.2,158190.5,39737.6,127,92.9,30648.6,1242.2,30167.5,705.5,1447.6,2475.8,5075.3,1748.7,2438.5,3816.1,221.9,1384.8,835.1,642,485.6,502,1056.3,1598.8,2977.1,1487.6,2284.7,3452.2,197,1208.8,675.4,488.9,359.3,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.8,4.47,0.17,0.18,0.11,21.15,0.15,0.33,11.1,33.69,0.35,2.36,0.35,74.41,48,38,43,62,14,16,22,32,53,44,46,49,467,928,1290.6,683.9,924.1
395,PK5V-3_gr1 Grid 001x005,PK5V-3_gr1 Grid 001x005,40.87,19.5,14.48,0.2868,6.42,1.84,6.06,9.3,0.154,0.0048,0.0395,0.0185,98.9736,41.2938,19.7022,14.6302,0.2898,6.4866,1.8591,6.1228,9.3964,0.1556,0.0048,0.0399,0.0187,100,6.034,4.291,2.52,0.0359,0.793,0.204,0.958,1.085,0.0441,0.0009,0.0049,0.0022,15.973,42.6519,30.336,8.9058,0.2535,5.6033,1.4441,6.7764,3.8369,0.1558,0.0032,0.0175,0.0155,100,21.3799,23.3156,10.321,37.9723,16.681,12.4722,0.273,5.7165,1.7077,6.1655,8.445,0.1357,0.0049,0.0314,0.0164,89.6216,58.717,16.681,66.483,0.659,6.353,1.708,23.961,8.445,1.171,0.0408,0.0743,0.0357,184.3288,591,134017,112721.2,329483,123.7,158049.7,39844.9,119.8,95.6,30390.7,1200.3,30266.4,691.8,1486.9,2416.9,4891.4,1731.7,2411,3774.2,210.1,1335.1,828.5,628.9,503.9,521.6,1079.8,1595.6,2870.4,1504.6,2248.7,3473.8,181.9,1236.3,691.8,485.6,354.1,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.8,4.33,0.17,0.18,0.11,28.25,0.15,0.33,11.37,32.67,0.35,2.42,0.35,80.68,48,38,42,61,14,16,22,31,53,44,46,49,464,944.4,1269,681.9,922.8
396,PK5V-3_gr1 Grid 002x001,PK5V-3_gr1 Grid 002x001,40.84,19.56,14.5,0.2852,6.41,1.83,6.07,9.36,0.1353,0.0083,0.0464,0.0158,99.061,41.2271,19.7454,14.6374,0.2879,6.4708,1.8473,6.1275,9.4487,0.1366,0.0084,0.0468,0.0159,100,6.025,4.302,2.522,0.0356,0.79,0.203,0.96,1.091,0.0387,0.0016,0.0058,0.0019,15.9766,42.5881,30.4061,8.9113,0.2519,5.5903,1.4352,6.7824,3.8587,0.1368,0.0055,0.0205,0.0133,100,21.3812,23.3104,10.321,37.9458,16.738,12.487,0.2714,5.7012,1.6967,6.1794,8.498,0.1193,0.0085,0.0369,0.014,89.6962,58.676,16.738,66.562,0.6552,6.336,1.697,24.015,8.498,1.0291,0.0702,0.0873,0.0305,184.3943,519.6,134477.1,112855.4,329255.9,212.7,158408.4,39585.7,141.4,81.8,30310.2,1193.7,30457.5,724.5,1518.3,2495.4,4944.4,1775.5,2388.7,3835.7,202.2,1356.7,791.9,662.3,494.1,532.1,1038.6,1616.5,2864.5,1468.6,2287.3,3461.4,192.4,1205.5,732.3,496.1,360.6,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.8,4.89,0.17,0.18,0.11,16.66,0.15,0.33,9.89,38.04,0.35,2.45,0.35,73.57,49,38,43,61,14,16,22,31,52,44,47,49,466,933.9,1281.4,681.3,907.7
397,PK5V-3_gr1 Grid 002x002,PK5V-3_gr1 Grid 002x002,40.82,19.56,14.49,0.2726,6.48,1.84,6.06,9.27,0.1371,0.0065,0.0406,0.011,98.9878,41.2374,19.76,14.6382,0.2754,6.5463,1.8588,6.122,9.3648,0.1385,0.0066,0.041,0.0111,100,6.027,4.304,2.521,0.0341,0.801,0.204,0.959,1.082,0.0393,0.0012,0.0051,0.0013,15.979,42.5772,30.4132,8.9073,0.2408,5.6527,1.4434,6.7728,3.8225,0.1386,0.0043,0.0179,0.0092,100,21.3812,23.3117,10.321,37.9218,16.73,12.4717,0.2594,5.7705,1.7057,6.1701,8.42,0.1209,0.0067,0.0322,0.0097,89.6187,58.639,16.73,66.48,0.6262,6.413,1.706,23.979,8.42,1.0428,0.0554,0.0763,0.0212,184.1889,526.2,134411,112715.3,329050.4,168.2,158167.5,39798.4,123,56.9,30678,1140.7,30176.1,746.7,1529.4,2532.7,5068.7,1733.6,2466.6,3896.6,231,1402.5,817.4,704.2,438.5,517,1008.5,1586.4,2936.5,1518.3,2235.6,3407.1,189.1,1206.2,737.6,524.2,377,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.8,4.85,0.17,0.18,0.11,20.97,0.15,0.33,11.4,54.85,0.35,2.57,0.35,96.28,49,38,43,62,14,16,22,32,53,45,48,48,470,920.8,1280.1,678.7,912.3
398,PK5V-3_gr1 Grid 002x003,PK5V-3_gr1 Grid 002x003,40.82,19.53,14.44,0.2888,6.42,1.84,6.06,9.29,0.1355,0.003,0.0401,0.0126,98.88,41.2824,19.7512,14.6036,0.2921,6.4927,1.8608,6.1286,9.3952,0.137,0.003,0.0406,0.0127,100,6.033,4.302,2.516,0.0361,0.793,0.204,0.96,1.085,0.0388,0.0006,0.005,0.0015,15.975,42.6241,30.4,8.8863,0.2554,5.6065,1.445,6.7803,3.8349,0.1372,0.002,0.0177,0.0106,100,21.3812,23.313,10.321,37.9231,16.708,12.4341,0.2748,5.7102,1.7027,6.1678,8.438,0.1195,0.003,0.0318,0.0111,89.5242,58.641,16.708,66.28,0.6634,6.346,1.703,23.97,8.438,1.0305,0.0252,0.0754,0.0242,183.9047,520.3,134236.9,112375.7,329056.9,76.6,158108.6,39741.5,121.7,64.8,30359.9,1208.8,30241.5,716.6,1452.2,2482.3,4960.7,1762.4,2416.9,3747.4,207.5,1395.3,884.2,621.1,499.4,496.7,1020.3,1590.3,2844.9,1532.1,2229.1,3439.1,177.4,1186.5,723.2,496.7,385.5,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.8,4.83,0.17,0.18,0.11,45.82,0.15,0.33,11.14,47.9,0.36,2.41,0.35,113.75,48,37,43,61,14,16,22,31,53,45,46,50,466,937.2,1257.2,687.2,924.7
399,PK5V-3_gr1 Grid 002x004,PK5V-3_gr1 Grid 002x004,40.81,19.48,14.46,0.2894,6.42,1.83,6.07,9.33,0.1358,0.0068,0.0481,0.0247,98.9048,41.2619,19.6957,14.6201,0.2926,6.4911,1.8503,6.1372,9.4333,0.1373,0.0069,0.0486,0.025,100,6.03,4.291,2.519,0.0362,0.793,0.203,0.961,1.09,0.0389,0.0013,0.006,0.0029,15.9723,42.6303,30.334,8.9021,0.2561,5.6087,1.4377,6.7941,3.8529,0.1375,0.0045,0.0213,0.0208,100,21.3812,23.3143,10.321,37.9128,16.663,12.4548,0.2754,5.7129,1.6977,6.1781,8.474,0.1197,0.007,0.0382,0.0219,89.5555,58.625,16.663,66.39,0.665,6.349,1.698,24.01,8.474,1.0327,0.058,0.0905,0.0476,184.1028,520.9,133879.6,112562.2,328971.2,176.1,158375,39608,145.9,127.6,30370.4,1211.4,30370.4,736.9,1597.5,2475.1,4844.2,1697.6,2344.2,3732.3,228.4,1361.9,840.3,606.7,470.5,496.1,1022.9,1571.3,2871.7,1437.8,2215.3,3446.3,183.9,1141.4,692.4,498.7,374.4,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.8,4.84,0.17,0.18,0.11,19.74,0.15,0.33,9.75,24.29,0.35,2.4,0.35,62.66,49,38,42,61,13,16,22,32,52,44,46,49,464,928.7,1278.1,688.5,916.2
400,PK5V-3_gr1 Grid 002x005,PK5V-3_gr1 Grid 002x005,40.87,19.41,14.48,0.2818,6.41,1.83,6.06,9.21,0.142,0.0081,0.0496,0.0146,98.7661,41.3806,19.6525,14.6609,0.2853,6.4901,1.8529,6.1357,9.3251,0.1438,0.0082,0.0502,0.0148,100,6.044,4.278,2.524,0.0353,0.792,0.204,0.96,1.077,0.0407,0.0015,0.0062,0.0017,15.9644,42.7404,30.2586,8.9243,0.2496,5.6062,1.4393,6.7905,3.8076,0.144,0.0054,0.022,0.0123,100,21.3812,23.3156,10.321,37.9755,16.604,12.4745,0.2682,5.6994,1.6997,6.1647,8.365,0.1252,0.0083,0.0393,0.013,89.4368,58.722,16.604,66.495,0.6474,6.334,1.7,23.958,8.365,1.0802,0.0683,0.0932,0.0282,184.0953,545.2,133405.1,112740.8,329515,206.8,158028.8,39661,150.5,75.3,30303.7,1179.3,29982.3,736.9,1505.2,2486.9,4918.9,1728.4,2351.4,3815.4,196.3,1385.5,857.3,661.7,481.7,503.9,1068.1,1631.5,2969.9,1509.2,2222.5,3358.6,168.2,1170.8,727.8,515,360,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.8,4.67,0.17,0.18,0.11,17.09,0.15,0.33,9.09,41.08,0.36,2.48,0.35,76.06,49,38,43,62,14,16,22,30,52,45,47,49,467,954.8,1269.6,687.8,930.6
401,PK5V-3_gr1 Grid 003x001,PK5V-3_gr1 Grid 003x001,40.86,19.52,14.46,0.3028,6.41,1.84,6.07,9.2,0.1404,0.0086,0.038,0.0139,98.8637,41.3296,19.7444,14.6262,0.3063,6.4837,1.8611,6.1398,9.3057,0.142,0.0087,0.0384,0.0141,100,6.038,4.301,2.518,0.0379,0.792,0.204,0.96,1.075,0.0402,0.0016,0.0048,0.0016,15.9741,42.6552,30.3768,8.8964,0.2678,5.5964,1.4446,6.7898,3.7968,0.1421,0.0057,0.0168,0.0117,100,21.3825,23.3104,10.321,37.96,16.707,12.4497,0.2881,5.7057,1.7047,6.1711,8.355,0.1238,0.0088,0.0302,0.0123,89.5164,58.698,16.707,66.363,0.6955,6.341,1.705,23.983,8.355,1.068,0.0726,0.0715,0.0267,184.0863,539.3,134229.7,112517,329378.9,219.9,158200.3,39774.2,115.8,71.3,30332.5,1267,29945,775.5,1533.4,2469.9,4915.6,1694.4,2427.4,3886.8,201.6,1397.9,841,623.7,452.9,528.1,1027.5,1647.9,2958.1,1487.6,2249.4,3522.9,188.5,1216,757.2,479.1,374.4,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.8,4.8,0.17,0.18,0.11,15.98,0.15,0.33,11.72,43.82,0.36,2.32,0.35,80.29,50,38,43,62,14,16,22,31,53,45,46,48,468,931.3,1273.6,688.5,926.7
402,PK5V-3_gr1 Grid 003x002,PK5V-3_gr1 Grid 003x002,40.9,19.57,14.5,0.2906,6.38,1.82,6.06,9.29,0.1519,0.0069,0.042,0.0189,99.0303,41.3005,19.7616,14.642,0.2934,6.4425,1.8378,6.1193,9.381,0.1534,0.007,0.0424,0.0191,100,6.033,4.303,2.521,0.0363,0.787,0.202,0.958,1.084,0.0434,0.0013,0.0052,0.0022,15.9764,42.6398,30.4139,8.9091,0.2566,5.5627,1.427,6.7695,3.8288,0.1535,0.0046,0.0185,0.0158,100,21.3825,23.3117,10.321,37.9949,16.744,12.4859,0.2765,5.6724,1.6907,6.1665,8.441,0.134,0.007,0.0333,0.0167,89.6631,58.752,16.744,66.556,0.6676,6.304,1.691,23.965,8.441,1.1559,0.0581,0.079,0.0364,184.45,583.5,134527.2,112844.8,329683.1,176.2,158080.6,39447.3,127.7,96.9,30159.8,1216.1,30254.8,682.4,1505.6,2392.3,5061.6,1730.8,2385.1,3778,199.1,1329.4,835,660.1,450.6,507.5,1034.1,1624.1,2935.8,1479.4,2259.3,3472.2,175.5,1188.6,707.9,508.8,380.5,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.7,4.35,0.17,0.18,0.11,19.92,0.15,0.33,10.59,31.73,0.36,2.42,0.35,70.66,48,38,42,62,14,16,22,30,52,45,47,49,465,924.7,1258.7,679.8,914.9
403,PK5V-3_gr1 Grid 003x003,PK5V-3_gr1 Grid 003x003,40.86,19.55,14.48,0.2879,6.43,1.83,6.06,9.23,0.1372,0.0056,0.0482,0.0112,98.9301,41.3019,19.7614,14.6366,0.291,6.4995,1.8498,6.1255,9.3298,0.1387,0.0057,0.0487,0.0113,100,6.034,4.302,2.521,0.036,0.794,0.203,0.959,1.078,0.0393,0.0011,0.006,0.0013,15.9747,42.6323,30.4072,8.9039,0.2544,5.6108,1.436,6.775,3.8072,0.1388,0.0037,0.0213,0.0094,100,21.3825,23.313,10.321,37.9606,16.727,12.4722,0.274,5.7192,1.6947,6.1696,8.387,0.1211,0.0057,0.0383,0.0099,89.5793,58.699,16.727,66.483,0.6614,6.356,1.695,23.977,8.387,1.0442,0.0474,0.0907,0.0215,184.1892,526.8,134388.1,112719.9,329382.8,144,158157.7,39541.2,146.6,57.6,30404.4,1204.8,30059.6,756.5,1518.3,2454.2,4954.8,1794.5,2390.7,3944.4,206.8,1361.3,862.6,640,474.5,531.4,1073.3,1596.9,2873,1466,2234.3,3441.8,184.6,1212,731,513.7,342.3,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.8,4.87,0.17,0.18,0.11,24.48,0.15,0.33,9.54,53.8,0.35,2.43,0.35,96.76,50,38,42,61,14,16,22,31,53,45,47,48,467,930.6,1255.2,695,907.7
